long;lat;nombre;domicilio;observ;nro_est;horario;dire_norm;;;;;;;
-58,39936857;-34,58711721;Gutiérrez;Juan Maria Gutiérrez entre Aguero y Laprida;mar-17;90;Estación automática: disponibilidad las 24 horas;GUTIERREZ JUAN MARIA y AGUERO;;;;;;;
-58,40579041;-34,60177971;Pueyrredón;Boulogne Sur Mer y Tucuman;mar-17;144;Estación automática: disponibilidad las 24 horas;BOULOGNE SUR MER y TUCUMAN;;;;;;;
-58,42520466;-34,58566944;Guatemala;Guatemala 4799 entre J.L. Borges y Gurruchaga;mar-17;113;Estación automática: disponibilidad las 24 horas;4799 GUATEMALA;;;;;;;
-58,43495487;-34,60016466;Velasco;Velasco 285 entre Julián Álvarez y Lavalleja;mar-17;129;Estación automática: disponibilidad las 24 horas;285 VELASCO RAMIREZ DE JUAN;;;;;;;
-58,42878106;-34,61506435;Hipólito Yrigoyen;Hipolito Yrigoyen entre Muñiz y La Plata;mar-17;167;Estación automática: disponibilidad las 24 horas;YRIGOYEN HIPOLITO AV y LA PLATA AV;;;;;;;
-58,42104415;-34,58542422;Armenia;Armenia 2393 y Charcas;mar-17;123;Estación automática: disponibilidad las 24 horas;2393 ARMENIA;;;;;;;
-58,41231356;-34,58108161;Ugarteche;Ugarteche entre Cabello y Las Heras;mar-17;124;Estación automática: disponibilidad las 24 horas;UGARTECHE y CABELLO;;;;;;;
-58,41315047;-34,63330898;Virrey Liniers;Salcedo 3401 y Virrey Liniers;mar-17;139;Estación automática: disponibilidad las 24 horas;3401 SALCEDO;;;;;;;
-58,41577504;-34,63514804;Las Casas;Las Casas 3587 entre Av. Boedo y Alzaga;mar-17;140;Estación automática: disponibilidad las 24 horas;3587 LAS CASAS;;;;;;;
-58,36093315;-34,63407209;Pinzón;Pinzón 469 y Martín Rodríguez;mar-17;176;Estación automática: disponibilidad las 24 horas;469 PINZON;;;;;;;
-58,4053127;-34,58247238;Cabello;Cabello entre Cnel Díaz y Ortiz de Ocampo;mar-17;89;Estación automática: disponibilidad las 24 horas;CABELLO y DIAZ CNEL AV;;;;;;;
-58,36943055;-34,63997121;Ministerio de Justicia y Seguridad;Regimiento de Patricios y Aráoz de Lamadrid;abr-17;126;Estación automática: disponibilidad las 24 horas;REGIMIENTO DE PATRICIOS AV y ARAOZ DE LAMADRID GREGORIO;;;;;;;
-58,45506219;-34,58754836;Federico Lacroze;Av Corrientes 6800 y Federico Lacroze;abr-17;104;Estación automática: disponibilidad las 24 horas;6900 CORRIENTES AV;;;;;;;
-58,37170591;-34,63081221;Ruy Díaz de Guzmán;Ruy Díaz de Guzmán y Av. Martín García;abr-17;73;Estación automática: disponibilidad las 24 horas;RUY DIAZ DE GUZMAN y GARCIA MARTIN AV;;;;;;;
-58,38091227;-34,60823179;Rivadavia y 9 de Julio;Rivadavia y Carlos pellegrini;abr-17;191;Estación automática: disponibilidad las 24 horas;RIVADAVIA AV y PELLEGRINI CARLOS;;;;;;;
-58,37475251;-34,62205994;Plaza Cecilia Grierson;Av San Juan 632;abr-17;173;Estación automática: disponibilidad las 24 horas;632 SAN JUAN AV;;;;;;;
-58,43783661;-34,58046947;Ravignani;Ravignani 1883 y Costa Rica;abr-17;145;Estación automática: disponibilidad las 24 horas;1883 RAVIGNANI EMILIO DR;;;;;;;
-58,41191367;-34,59269661;Billinghurst y Mansilla;Billinghurst 1533 y Mansilla;abr-17;181;Estación automática: disponibilidad las 24 horas;1853 BILLINGHURST;;;;;;;
